,category
0,/Anniversary/Anniversary in 61-90 Days
1,/Automotive/Automotive (UK)/Likely Current Vehicle Age/Age 0-3 years
2,/Automotive/Automotive (UK)/Likely Current Vehicle Age/Age 4-6 years
3,/Automotive/Automotive (UK)/Likely Current Vehicle Age/Age 7+ years
4,/Automotive/Automotive (UK)/Likely Current Vehicle SMMT Classification/A/B (Mini/Supermini)
5,/Automotive/Automotive (UK)/Likely Current Vehicle SMMT Classification/C/V (Lower Medium/Vans)
6,/Automotive/Automotive (UK)/Likely Current Vehicle SMMT Classification/D/I (Upper Medium/MPV)
7,/Automotive/Automotive (UK)/Likely Current Vehicle SMMT Classification/E+
8,/Automotive/Automotive (UK)/Likely New Vehicle Age/Likely to Buy a Car Made in the Last 3 Years
9,/Automotive/Automotive (UK)/Likely New Vehicle Age/Likely to Buy a New Car
10,/Automotive/Automotive (UK)/Likely New Vehicle Age/Likely to Buy a Used Car
11,/Automotive/Automotive (UK)/Likely Number of Cars in the Household/1
12,/Automotive/Automotive (UK)/Likely Number of Cars in the Household/2
13,/Automotive/Automotive (UK)/Likely Number of Cars in the Household/None
14,/Automotive/Automotive (UK)/Owners/Basic car
15,/Automotive/Automotive (UK)/Owners/Executive car 
16,/Automotive/Automotive (UK)/Owners/Leased car 
17,/Automotive/Automotive (UK)/Owners/Lower medium car 
18,/Automotive/Automotive (UK)/Owners/Luxury car 
19,/Automotive/Automotive (UK)/Owners/MPV car 
20,/Automotive/Automotive (UK)/Owners/SUV car 
21,/Automotive/Automotive (UK)/Owners/Small car 
22,/Automotive/Automotive (UK)/Owners/Sports car 
23,/Automotive/Automotive (UK)/Owners/Upper medium car 
24,/Behaviors/ Expats/Expats (Cuba)
25,/Behaviors/ Expats/Expats (Ghana)
26,/Behaviors/ Expats/Expats (Switzerland)
27,/Behaviors/ Expats/Expats (Uganda)
28,/Behaviors/ Expats/Expats (United States)
29,/Behaviors/ Expats/Expats (Zimbabwe)
30,/Charitable donations/ Charitable donations (UK)/Gives to charity
31,/Consumer Classification/India/(A) Affinity for High Value Goods - India
32,/Consumer Classification/India/(A+B) Affinity for Mid-High Value Goods - India
33,/Digital activities/ Console Gamers
34,/Digital activities/ Operating System Used/Primary OS Windows 10
35,/Digital activities/Canvas Gaming/Average Engagement/Plays 0 out of 7 days
36,/Digital activities/Canvas Gaming/Average Engagement/Plays 1 out of 7 days
37,/Digital activities/Canvas Gaming/Average Engagement/Plays 2 out of 7 days
38,/Digital activities/Canvas Gaming/Average Engagement/Plays 3 out of 7 days
39,/Digital activities/Canvas Gaming/Average Engagement/Plays 4 out of 7 days
40,/Digital activities/Canvas Gaming/Average Engagement/Plays 5 out of 7 days
41,/Digital activities/Canvas Gaming/Average Engagement/Plays 6 out of 7 days
42,/Digital activities/Canvas Gaming/Average Engagement/Plays 7 out of 7 days
43,/Digital activities/Canvas Gaming/Played game in last 14 days
44,/Digital activities/Canvas Gaming/Played game in last 3 days
45,/Digital activities/Canvas Gaming/Played game in last 7 days
46,/Digital activities/Canvas Gaming/Played game yesterday
47,/Digital activities/Event creators
48,/Digital activities/FB Payments (All)
49,/Digital activities/FB Payments (Higher than average spend)
50,/Digital activities/FB Payments (Recent)
51,/Digital activities/Facebook Page Admins
52,/Digital activities/Internet Browser Used/Primary Browser: Chrome
53,/Digital activities/Internet Browser Used/Primary Browser: Firefox
54,/Digital activities/Internet Browser Used/Primary Browser: Internet Explorer
55,/Digital activities/Internet Browser Used/Primary Browser: Opera
56,/Digital activities/Internet Browser Used/Primary Browser: Safari
57,/Digital activities/Operating System Used/Primary OS Mac OS X
58,/Digital activities/Operating System Used/Primary OS Windows 7
59,/Digital activities/Operating System Used/Primary OS Windows 8
60,/Digital activities/Operating System Used/Primary OS Windows Vista
61,/Digital activities/Operating System Used/Primary OS Windows XP
62,/Digital activities/Photo uploaders
63,/Digital activities/Primary email domain/AOL Email Addressees 
64,/Digital activities/Primary email domain/Apple Email Addresses
65,/Digital activities/Primary email domain/Gmail Users
66,/Digital activities/Primary email domain/Hotmail Email Addresses
67,/Digital activities/Primary email domain/MSN.com Email Addresses
