,category
0,/Administrative
1,/Architecture and Engineering
2,"/Arts, Entertainment, Sports and Media"
3,/Business and Financial Operations
4,/Cleaning and Maintenance
5,/Community and Social Services
6,/Computer and Mathematics
7,/Construction and Extraction
8,/Education and Library
9,"/Farming, Fishing and Forestry"
10,/Food Preparation and Services
11,/Government Employees
12,/Healthcare and Medical
13,/IT and Technical
14,/Installation and Repair
15,/Legal
16,"/Life, Physical, and Social Science"
17,/Management
18,/Military
19,/Nurses
20,/Personal Care
21,/Production
22,/Protective Service
23,/Retail
24,/Sales
25,/Temporary and Seasonal
26,/Transportation and Moving
27,/Veterans (US)
