,category
0,/Anniversary/Anniversary in 31-60 Days
1,/Anniversary/Anniversary within 30 Days
2,/Away from family
3,/Away from hometown
4,/Birthday/ Birthday Month/Birthday in 01 January
5,/Birthday/ Birthday Month/Birthday in 02 February
6,/Birthday/ Birthday Month/Birthday in 03 March
7,/Birthday/ Birthday Month/Birthday in 04 April
8,/Birthday/ Birthday Month/Birthday in 05 May
9,/Birthday/ Birthday Month/Birthday in 06 June
10,/Birthday/ Birthday Month/Birthday in 07 July
11,/Birthday/ Birthday Month/Birthday in 08 August
12,/Birthday/ Birthday Month/Birthday in 09 September
13,/Birthday/ Birthday Month/Birthday in 10 October
14,/Birthday/ Birthday Month/Birthday in 11 November
15,/Birthday/ Birthday Month/Birthday in 12 December
16,/Birthday/Upcoming birthday
17,/Friends of/Friends of Newly Engaged 
18,/Friends of/Friends of Newlywed
19,/Friends of/Friends of Recently Moved 
20,/Friends of/Friends of Upcoming Birthday
21,/Long distance relationship
22,/New job
23,/New relationship
24,/Newly engaged (1 year)
25,/Newly engaged (3 months)
26,/Newly engaged (6 months)
27,/Newlywed (1 year)
28,/Newlywed (3 months)
29,/Newlywed (6 months)
30,/Recently moved
