,category
0,530
1,Android_Smartphone
2,Android_Tablet
3,a1000
4,a2010
5,a369i
6,a37
7,a536
8,a6000
9,a7000
10,alcatel
11,amazon
12,aquos crystal
13,aquos crystal x
14,aquos ever
15,aquos phone serie shl22
16,aquos phone serie shl23
17,aquos phone xx mini
18,aquos phone zeta sh-02e
19,aquos xx
20,ascend g610
21,ascend g7
22,ascend g730
23,ascend p7
24,ascend y221
25,ascend y330
26,ascend y336
27,ascend y360
28,ascend y520
29,ascend y530
30,ascend y550
31,ascend y560
32,ascend y600
33,ascend y625
34,ascend y635
35,asus
36,blade l2
37,camon c8
38,desire 510
39,desire 626
40,desire 626s
41,desire 816
42,desire 820
43,docomo
44,droid maxx
45,droid mini
46,droid razr
47,droid razr 4g
48,droid razr hd
49,droid razr m
50,droid turbo
51,droid turbo 2
52,f1
53,f1s
54,fire
55,g play mini
56,g pro lite
57,g stylo
58,g2
59,g2 mini
60,g3
61,g3 a
62,g3 beat
63,g3 mini
64,g3 prime
65,g3 s
66,g3 stylus
67,g3 vigor
68,g4
69,g4 beat
70,g4 stylus
71,g4c
72,g5
73,galaxy a3
74,galaxy a3 (2016)
75,galaxy a5
76,galaxy a5 (2016)
77,galaxy a7
78,galaxy a7 (2016)
79,galaxy a8
80,galaxy ace
81,galaxy ace 2
82,galaxy ace 3
83,galaxy ace 4
84,galaxy ace 4 duos
85,galaxy ace 4 lite duos
86,galaxy ace 4 neo
87,galaxy ace duos
88,galaxy ace nxt
89,galaxy ace plus
90,galaxy ace style
91,galaxy alpha
92,galaxy avant
93,galaxy centura
94,galaxy chat
95,galaxy core
96,galaxy core 2
97,galaxy core 2 duos
98,galaxy core plus
99,galaxy core prime
100,galaxy core prime duos
101,galaxy e5
102,galaxy e7
103,galaxy exhibit
104,galaxy fame
105,galaxy fame lite
106,galaxy fame lite duos
107,galaxy grand
108,galaxy grand 2
109,galaxy grand 2 duos
110,galaxy grand max
111,galaxy grand neo
112,galaxy grand prime
113,galaxy grand quattro
114,galaxy j1
115,galaxy j1 (2016)
116,galaxy j1 ace
117,galaxy j1 mini
118,galaxy j2
119,galaxy j2 (2016)
120,galaxy j3
121,galaxy j3 (2016)
122,galaxy j5
123,galaxy j5 (2016)
124,galaxy j7
125,galaxy j7 (2016)
126,galaxy light
127,galaxy mega 2
128,galaxy mega 5.8
129,galaxy mega 6.3
130,galaxy mini
131,galaxy mini 2
132,galaxy note
133,galaxy note 10.1
134,galaxy note 10.1 2014
135,galaxy note 3
136,galaxy note 3 neo
137,galaxy note 3 neo duos
138,galaxy note 4
139,galaxy note 4 duos
140,galaxy note 5
141,galaxy note 7
142,galaxy note 8.0
143,galaxy note edge
144,galaxy note ii
145,galaxy on5
146,galaxy on7
147,galaxy pocket
148,galaxy pocket 2
149,galaxy pocket 2 duos
150,galaxy pocket duos
151,galaxy pocket neo
152,galaxy pocket neo duos
153,galaxy pocket plus
154,galaxy s
155,galaxy s advance
156,galaxy s duos
157,galaxy s duos 2
158,galaxy s duos 3
159,galaxy s ii
160,galaxy s ii plus
161,galaxy s ii skyrocket
162,galaxy s ii tv
163,galaxy s iii
164,galaxy s iii alpha
165,galaxy s iii mini
166,galaxy s iii neo
167,galaxy s iii neo plus
168,galaxy s iii neo+
169,galaxy s iii slim
170,galaxy s4
171,galaxy s4 active
172,galaxy s4 mini
173,galaxy s4 value edition
174,galaxy s4 zoom
175,galaxy s5
176,galaxy s5 active
177,galaxy s5 duos
178,galaxy s5 mini
179,galaxy s5 neo
180,galaxy s5 prime
181,galaxy s5 sport
182,galaxy s6
183,galaxy s6 active
184,galaxy s6 edge
185,galaxy s6 edge plus
186,galaxy s7
187,galaxy s7 edge
188,galaxy star
189,galaxy star 2
190,galaxy star advance
191,galaxy star pro
192,galaxy star trios
193,galaxy tab 10.1
194,galaxy tab 2 10.1
195,galaxy tab 2 7.0
196,galaxy tab 3 10.1
197,galaxy tab 3 7.0
198,galaxy tab 3 8.0
199,galaxy tab 3 lite
200,galaxy tab 3 v
201,galaxy tab 4 10.1
202,galaxy tab 4 7.0
203,galaxy tab 4 8.0
204,galaxy tab a
205,galaxy tab a 8.0
206,galaxy tab a 9.7
207,galaxy tab e 9.6
208,galaxy tab pro 10.1
209,galaxy tab s 10.5
210,galaxy trend
211,galaxy trend lite
212,galaxy trend lite 2
213,galaxy trend plus
214,galaxy v
215,galaxy v plus
216,galaxy w
217,galaxy win
218,galaxy win 2 duos tv
219,galaxy win duos
220,galaxy y
221,galaxy y duos
222,galaxy y plus
223,galaxy y pro
224,galaxy y tv
225,galaxy young
226,galaxy young 2
227,galaxy young 2 duos
228,galaxy young plus tv
229,google
230,honor 4c
231,hot note
232,htc
233,huawei
234,iPad
235,iPhone
236,iPod
237,infinix
238,ipad
239,ipad 2
240,ipad 3rd gen
241,ipad 4th gen
242,ipad air
243,ipad air 2
244,ipad mini
245,ipad mini 2
246,ipad mini 3
247,ipad mini 4
248,ipad pro
249,iphone
250,iphone 3gs
251,iphone 4
252,iphone 4s
253,iphone 5
254,iphone 5c
255,iphone 5s
256,iphone 6
257,iphone 6 plus
258,iphone 6s
259,iphone 6s plus
260,iphone 7
261,iphone 7 plus
262,iphone se
263,ipod touch 1st generation
264,ipod touch 2nd generation
265,ipod touch 3rd generation
266,ipod touch 4th generation
267,ipod touch 5th generation
268,iris 700
269,joy
270,joy 3
271,k10
272,k3 note
273,k7
274,kindle fire
275,kindle fire hd 7 (2012)
276,kindle fire hd 7 (2013)
277,kindle fire hd 8.9
278,kindle fire hdx 7
279,kindle fire hdx 8.9
280,l fino
281,l prime dual
282,l70
283,lava
284,lenovo
285,leon
286,lg
287,lumia 520
288,lumia 535
289,lumia 630
290,lumia 635
291,lumia 640 lte
292,magna
293,mediapad t1 7.0
294,micromax
295,microsoft
296,moto e
297,moto e (2nd gen)
298,moto g
299,moto g (2nd gen)
300,moto g (4th gen)
301,moto g 2nd gen
302,moto g 2nd generation
303,moto g 4g
304,moto g dtv
305,moto g forte
306,moto g2
307,moto g3
308,moto x
309,moto x (2nd gen)
310,moto x play
311,moto x pure
312,motorola
313,neo 3
314,neo 5
315,neo 7
316,nexus 10
317,nexus 5
318,nexus 5x
319,nexus 6
320,nexus 6p
321,nexus 7
322,nexus 9
323,nokia
324,note 3 neo duos
325,nyx
326,one (e8)
327,one (m7)
328,one (m8)
329,one e9+
330,one m9
331,one m9+
332,one max
333,one mini
334,one mini 2
335,one sv
336,one touch pixi 3
337,one touch pop 3 (5)
338,one touch pop c1
339,one touch pop c3
340,one touch pop c5
341,one touch pop c7
342,one x
343,one x+
344,one xl
345,oneplus
346,oneplus one
347,oppo
348,optimus f60
349,optimus l1 ii
350,optimus l3
351,optimus l3 ii
352,optimus l4 ii
353,optimus l5
354,optimus l5 dual
355,optimus l5 ii
356,optimus l5 ii dual
357,optimus l7
358,optimus l7 ii
359,optimus l7 ii dual
360,optimus l70
361,optimus l9
362,optimus l9 ii
363,optimus l90
364,p8
365,p8 lite
366,p9 lite
367,philips
368,pocket neo
369,razr
370,razr d1
371,razr d3
372,razr hd
373,razr i
374,redmi 2
375,redmi 3s
376,redmi note 3
377,redmi note 4g
378,rocstar
379,samsung
380,series iii l70
381,sharp
382,sony
383,sony_ericsson
384,spirit
385,tab 2 a7-30
386,tecno
387,transformer pad
388,tribute 5
389,unite 2
390,unite 3
391,v10
392,vibe k4 note
393,vibe k5
394,vibe p1m
395,vivo
396,volt
397,xiaomi
398,xperia arc s
399,xperia c
400,xperia c4
401,xperia c4 dual
402,xperia c5 ultra
403,xperia c5 ultra dual
404,xperia e
405,xperia e dual
406,xperia e1
407,xperia e1 dual
408,xperia e3
409,xperia e3 dual
410,xperia e4
411,xperia e4g
412,xperia e4g dual
413,xperia j
414,xperia l
415,xperia m
416,xperia m2
417,xperia m2 aqua
418,xperia m4 aqua
419,xperia m5
420,xperia m5 dual
421,xperia mini
422,xperia miro
423,xperia p
424,xperia s
425,xperia sp
426,xperia tipo
427,xperia tipo dual
428,xperia u
429,xperia ul
430,xperia z
431,xperia z ultra
432,xperia z1
433,xperia z1 compact
434,xperia z1 f
435,xperia z1s
436,xperia z2
437,xperia z2 tablet
438,xperia z2a
439,xperia z3
440,xperia z3 compact
441,xperia z3 dual
442,xperia z3+
443,xperia z3v
444,xperia z5
445,xperia z5 compact
446,xperia z5 premium
447,y3 ii
448,y5 ii
449,y51l
450,y6
451,zenfone 2
452,zenfone 2 laser
453,zenfone 4
454,zenfone 5
455,zenfone 6
456,zenfone c
457,zenfone go
458,zenfone laser 2
459,zenfone max
460,zenfone selfie
461,zte
