category,/Art & Theater Aficionados,/Auto Enthusiasts,/Auto Enthusiasts/Motorcycle Enthusiasts,/Auto Enthusiasts/Performance & Luxury Vehicle Enthusiasts,/Auto Enthusiasts/Truck & SUV Enthusiasts,/Avid Investors,/Beauty Mavens,/Business Professionals,/Comics & Animation Fans,/Cooking Enthusiasts,/Cooking Enthusiasts/30 Minute Chefs,/Cooking Enthusiasts/Aspiring Chefs,/Do-It-Yourselfers,/Family-Focused,/Fashionistas,/Fast Food Cravers,/Foodies,/Gamers,/Gamers/Action Game Fans,/Gamers/Adventure & Strategy Game Fans,/Gamers/Casual & Social Gamers,/Gamers/Driving & Racing Game Fans,/Gamers/Hardcore Gamers,/Gamers/Roleplaying Game Fans,/Gamers/Shooter Game Fans,/Gamers/Sports Game Fans,/Green Living Enthusiasts,/Health & Fitness Buffs,/Home Decor Enthusiasts,/Mobile Enthusiasts,/Movie Lovers,/Movie Lovers/Action & Adventure Movie Fans,/Movie Lovers/Comedy Movie Fans,/Movie Lovers/Family Movie Fans,/Movie Lovers/Horror Movie Fans,/Movie Lovers/Romance & Drama Movie Fans,/Movie Lovers/Sci-Fi & Fantasy Movie Fans,/Movie Lovers/South Asian Film Fans,/Music Lovers,/Music Lovers/Blues Fans,/Music Lovers/Classical Music Enthusiasts,/Music Lovers/Country Music Fans,/Music Lovers/Electronica & Dance Music Fans,/Music Lovers/Folk & Traditional Music Enthusiasts,/Music Lovers/Indie & Alternative Rock Fans,/Music Lovers/Jazz Enthusiasts,/Music Lovers/Metalheads,/Music Lovers/Pop Music Fans,/Music Lovers/Rap & Hip Hop Fans,/Music Lovers/Rock Music Fans,/Music Lovers/Spanish-Language Music Fans,/Music Lovers/World Music Fans,/News Junkies & Avid Readers,/News Junkies & Avid Readers/Business & Economic News Junkies,/News Junkies & Avid Readers/Entertainment & Celebrity News Junkies,/News Junkies & Avid Readers/Local News Junkies,/News Junkies & Avid Readers/Men's Media Fans,/News Junkies & Avid Readers/Women's Media Fans,/News Junkies & Avid Readers/World News Junkies,/Nightlife Enthusiasts,/Outdoor Enthusiasts,/Pet Lovers,/Pet Lovers/Cat Lovers,/Pet Lovers/Dog Lovers,/Political Junkies,/Shoppers,/Shoppers/Bargain Hunters,/Shoppers/Luxury Shoppers,/Shoppers/Shopaholics,/Shoppers/Value Shoppers,/Shutterbugs,/Social Media Enthusiasts,/Sports Fans,/Sports Fans/American Football Fans,/Sports Fans/Australian Football Fans,/Sports Fans/Baseball Fans,/Sports Fans/Basketball Fans,/Sports Fans/Boating & Sailing Enthusiasts,/Sports Fans/Cricket Enthusiasts,/Sports Fans/Cycling Enthusiasts,/Sports Fans/Fight & Wrestling Fans,/Sports Fans/Golf Enthusiasts,/Sports Fans/Hockey Fans,/Sports Fans/Motor Sports Enthusiasts,/Sports Fans/Racquetball Enthusiasts,/Sports Fans/Rugby Enthusiasts,/Sports Fans/Running Enthusiasts,/Sports Fans/Skiing Enthusiasts,/Sports Fans/Soccer Fans,/Sports Fans/Swimming Enthusiasts,/Sports Fans/Tennis Enthusiasts,/Sports Fans/Water Sports Enthusiasts,/Sports Fans/Winter Sports Enthusiasts,/TV Lovers,/TV Lovers/Documentary & Nonfiction TV Fans,/TV Lovers/Family Television Fans,"/TV Lovers/Game, Reality & Talk Show Fans",/TV Lovers/Sci-Fi & Fantasy TV Fans,/TV Lovers/TV Comedy Fans,/TV Lovers/TV Drama Fans,/Technophiles,/Thrill Seekers,/Travel Buffs,/Travel Buffs/Beachbound Travelers,/Travel Buffs/Family Vacationers,/Travel Buffs/Luxury Travelers,/Travel Buffs/Snowbound Travelers
/Business and industry,0.176698735872,0.306101538549,0.281270233851,0.369451027612,0.280970529449,0.345714909748,0.0645002217008,0.781721315318,0.0610305680471,0.307057984945,0.203358419561,0.282183705557,0.148301088156,0.273397942237,-0.0124374036628,0.334805849392,0.182921516049,0.104618753907,0.086909577069,0.133326954294,0.267909506095,0.109016279561,0.0951472721236,0.0761836959733,0.0304887820346,0.130808008564,0.261436217663,0.309820614822,0.257306971654,0.342061674492,-0.0460636320887,0.00802615643145,-0.0256442579877,0.0618073402406,-0.0307830211376,-0.0305715271796,-0.00554073908865,0.105885999337,0.0787523066479,0.0237304137866,0.20336303678,0.177412626179,0.091561699832,0.217187955926,0.108076103339,0.145578840019,-0.118068953069,0.111485085533,0.0899397130519,0.0807126151667,0.165479524405,0.163625773313,0.18373402588,0.493846230068,0.215800323574,0.269043226588,0.206968777814,0.244525545764,0.223949366815,0.29050018141,0.24439521665,0.033831662011,-0.02559150424,-0.0196716589501,0.22123768822,0.22528665,0.139664388321,0.305421161307,0.222412383869,0.313853519935,0.0296468375072,0.476830499994,0.164266314,0.12704879535,0.143435892302,0.115030514313,0.10045443156,0.224180790379,0.208459531742,0.220030234135,0.0833309437715,0.203345136688,0.106090572624,0.28473336917,0.18986671637,0.174210640617,0.218200417235,0.216872259642,0.0869984394056,0.198810661412,0.191325615604,0.287620747068,0.226393695681,-0.0409334064572,-0.0160304582346,0.12452780661,0.0662232371133,-0.000857277357276,-0.0206271712292,-0.0266710888033,0.0836313036916,0.0249990675986,0.131324641866,0.122122599931,0.237132339662,0.243319927196,0.11384524833
/Business and industry/Advertising,0.211084829292,0.235604997893,0.209657380861,0.3000224401,0.232883813246,0.265178977825,0.153548441559,0.406738406104,0.307825313121,0.197152283906,0.171306621662,0.200106058094,0.0949777893309,0.111769754678,0.0774004669554,0.206960405049,0.166794504728,0.185936492321,0.187421034348,0.223410908303,0.275191662586,0.18747002537,0.186981505295,0.185657496085,0.129798249216,0.225217280832,0.101897706749,0.227798850024,0.165483223313,0.27650374817,0.0812529633953,0.182548926833,0.158671762668,0.158486555218,0.149081166543,0.122404381747,0.17308053133,0.161112223703,0.109698057553,0.101134622541,0.178645580958,0.182997371041,0.166785108308,0.15533740383,0.17025016655,0.140440053584,0.0173833992415,0.185819512108,0.147014867057,0.150221916635,0.197672530895,0.196766288804,0.321779685855,0.415741436545,0.382171471022,0.354079993262,0.341036647643,0.377536938525,0.319281617236,0.198315317227,0.231562517334,0.0260759386711,-0.0340775141445,-0.00259575306852,0.116775469454,0.270090982793,0.185327747383,0.327324695874,0.26872920085,0.293719056687,0.113663328187,0.419313492694,0.239184186079,0.20136162778,0.23005777921,0.20823016059,0.180012439054,0.182780656101,0.208387124697,0.233527485792,0.175482211495,0.204832859754,0.181593617496,0.277485631019,0.216363641866,0.191118883071,0.237511541714,0.214962744234,0.18629361428,0.189784377182,0.191355427871,0.234013126342,0.226405415347,0.11452435921,0.216314194241,0.243528056437,0.217019781784,0.200569002643,0.187512692339,0.177998359241,0.0356054903236,0.0242363722606,0.175740080151,0.119905089349,0.121978016327,0.232353136892,0.142527336001
/Business and industry/Agriculture,0.00673287357796,0.000761284226307,-0.0232134824715,0.0074526272683,-0.0192412150479,0.0746361128336,-0.0370895339408,0.32865641497,-0.15896691441,0.110881577574,-0.0158284745544,0.0325667743527,0.0453492315631,0.195193383394,-0.194226227457,0.26904903426,0.0259557326664,-0.127496912392,-0.154165173374,-0.119709563172,0.0292301053092,-0.137678375961,-0.151088638356,-0.14672546467,-0.204345497583,-0.104232816222,0.124007033626,0.237949509733,0.0504494915157,0.039464028048,-0.24361342633,-0.257224791504,-0.266993430595,-0.210951520973,-0.273911157724,-0.241995516011,-0.238589499762,-0.138994260679,-0.10072789741,-0.202349680076,-0.0256934336499,-0.0734635255331,-0.122734040555,0.0274921097297,-0.161369569752,-0.0938136932579,-0.17912620186,-0.135634642664,-0.173691760795,-0.138807623902,-0.0404338604284,-0.104038526912,-0.0782739959247,0.165958463302,-0.0980781090504,0.00355527016866,-0.115873601677,-0.0698830119651,-0.0605161164964,0.00226588296986,0.0672269197219,-0.134769092467,-0.196253705562,-0.193991235545,0.17041721579,0.0104332610119,-0.014940855014,0.0241089707899,0.00133955194024,0.0908468977407,-0.104304606942,0.176751535025,-0.0621292764861,-0.0734550636656,-0.0612185958508,-0.106455858457,-0.104652520129,0.000789175403823,-0.0125610761973,-0.0312732059064,-0.138900306239,-0.0334354290254,-0.0974778422877,0.0325326209549,-0.0658990149457,-0.0251630677957,-0.0403995561485,-0.00890615333789,-0.113123692481,-0.0354011795641,-0.0427785929257,0.0996268864804,0.0124452861436,-0.220669167635,-0.232494147967,-0.144735556594,-0.221735001467,-0.223791289144,-0.247028182921,-0.239482696208,-0.0435457557957,-0.1454329449,-0.0353736763493,-0.0219395119975,0.0681466265261,0.0147507809167,-0.0223032230864
/Business and industry/Architecture,0.372994478533,0.0547732090296,0.0265036198034,0.11124974656,-0.010801630949,-0.00414072743867,0.173525107082,0.21050284363,-0.00985256666541,0.128041719868,0.0216480091998,0.0587768697939,0.0300069926628,0.136820422454,-0.0529036587989,0.00191734427549,0.024552185134,-0.0479666040218,-0.123079820863,-0.0292052753954,0.0655074436897,-0.110765191535,-0.0461506523472,-0.0834137633152,-0.125635115265,-0.0701622922177,0.0923602755964,0.0467360972003,0.189760402671,0.0891349865763,-0.140694534537,-0.143598904683,-0.145585307831,-0.133949929651,-0.129978711042,-0.100169235894,-0.0794705815869,-0.0546624284253,0.0788561385849,-0.0668746456766,0.241947962044,0.0577514142169,0.106330171121,0.225565987601,0.0335194404653,0.109101420274,-0.0925353592064,0.0593963504711,0.00346727927509,0.0717520312176,0.15861751241,0.063548241069,-0.0450221828796,0.0686281076797,-0.072964628439,-0.0320464651966,-0.0849587987986,-0.0412230542973,-0.0416927278625,0.112505809425,0.106111131075,-0.187691761355,-0.19234871608,-0.208238315869,0.0468171783325,0.00044387002437,-0.161012627897,0.0772024033049,-0.0112813045681,0.086906703169,-0.104923446915,0.218254173334,-0.060941589848,-0.0780724298892,-0.0876372176063,-0.101965069709,-0.100847204068,-0.000914124714517,-0.00862840196427,-0.0137944108365,-0.155022771321,0.0109876437577,-0.0991301230979,0.0292563440398,-0.029488779612,-0.0166927066095,-0.0579182774412,-0.00175874439275,-0.0988246967737,-0.00465000850961,-0.0157185097632,0.0282422576719,-0.000748778932492,-0.170443056918,-0.13241151129,-0.129376042715,-0.148759856578,-0.099777140965,-0.169423238041,-0.149575801091,0.0397502509821,-0.1787062555,-0.0354713252831,-0.0385807730595,0.00835764733128,0.0543726328152,-0.0642428313524
/Business and industry/Aviation,0.112888330104,0.220118351847,0.237517532751,0.231837249945,0.19818147634,0.110513253022,-0.130209443171,0.247708312763,0.0275763512418,0.0883302137614,0.00608886437522,0.0402960478565,-0.0413394493326,0.0125526966664,-0.0660692788945,0.0967306664266,-0.051369876701,-0.0193532663681,-0.0278979066287,-0.00770770215537,-0.0170866705817,0.0184055035841,-0.0176744174691,-0.037941108718,-0.0361606394851,0.0239522965919,0.0725850389648,0.168838925828,0.0383994744804,0.216795504392,-0.148788757015,-0.0721857151122,-0.131029674982,-0.131156190869,-0.125080209505,-0.123230739106,-0.0660711251234,-0.0278570790814,-0.0686307586091,-0.100255495063,0.0211517023728,-0.0447507358763,-0.0382922028269,0.00793431364736,-0.0346021629109,0.0236630735077,-0.149340156799,-0.0491857301581,-0.0712283367589,-0.0495732731318,-0.0152582328333,-0.0567416577166,0.0469957550676,0.169388724661,0.0654551170434,0.0904671374964,0.0256955144499,0.0411263627218,0.04651574166,0.0930628720214,0.147971585719,-0.124679980719,-0.157091961259,-0.145906622443,0.041796404228,-0.0103835930207,-0.0614941499615,0.0208058521104,-0.0169854241638,0.00130811544425,-0.0578386590002,0.169910649119,0.0879078812971,0.0994205332284,0.112916672439,0.0365379456596,0.0362099753998,0.1889958904,0.128069616575,0.142524951093,0.0156950045149,0.129938003458,0.0636146262203,0.240131986888,0.0992406549681,0.121789408646,0.100346164625,0.136634843594,0.0217405329243,0.113232156701,0.103362477097,0.183611258091,0.145774494368,-0.08388842089,-0.0588916139163,-0.0439881474313,-0.13688822443,-0.0179350256436,-0.0759818133139,-0.0651744631788,-0.0129574761943,-0.0351757126264,0.149513986581,0.118792130703,0.0805694359223,0.13070669171,0.0803692884725
/Business and industry/Banking,-0.00578249952375,0.0478184420545,0.00886165719443,0.0711038468541,0.00768656656678,0.251874634712,-0.0913343923977,0.4660870662,-0.0946835443089,-0.0502402459302,-0.0803966560494,-0.077023985046,-0.0135620363943,0.184418136118,-0.0330731524641,0.148246219737,0.00682837685636,0.024947933493,-0.0614993363638,-0.0131912471404,0.134063052677,-0.00267187701022,0.00841255133959,-0.0405923621425,-0.0801039806012,-0.0235483811734,-0.0459560129878,0.171101644558,-0.0262027432445,0.0963557394443,-0.205545541847,-0.186817787192,-0.19898048475,-0.145355114634,-0.215301743873,-0.189283897224,-0.183400088394,-0.100254224106,-0.0854638702662,-0.149143956045,-0.032464645668,-0.043057180014,-0.0753083757848,-0.0356093625782,-0.119826042834,-0.0936978687989,-0.169286596184,-0.0827857068771,-0.0893897710492,-0.105485226406,-0.0410008216343,-0.0572370719296,-0.0226882939583,0.265451023989,0.00972096099784,0.0412479419087,-0.0328263593478,0.00309182816179,0.0146469501291,-0.00413562575312,-0.0418840722164,-0.19663341466,-0.231308768949,-0.248341889769,0.214854247936,0.115757272755,0.00711336760981,0.167294681117,0.117315811461,0.181541254829,-0.022739543507,0.204067266337,-0.0306753649961,-0.0294327422108,-0.0209721014644,-0.0591880060457,-0.0652882304364,-0.00948354255922,-0.0112591206556,-0.0180684263732,-0.0884457247214,-0.0211597604474,-0.0524807292211,0.0436420844957,-0.0553878133772,-0.0207923896749,-0.0258385145954,-0.0358087952692,-0.0644712010651,-0.028328833752,-0.016069875519,0.0252634518745,-0.0322513450789,-0.158181755897,-0.170926339166,-0.0622120344397,-0.164193115674,-0.150260996353,-0.158346434213,-0.152344252669,-0.0107068248619,-0.119311555856,0.0258280487104,0.0286359026876,0.0847558855912,0.127577748882,0.00702062712509
/Business and industry/Banking/Investment banking,0.0907653018058,0.209004108001,0.170131748984,0.275895392023,0.175455974867,0.414361545494,-0.0262263703741,0.721663148435,-0.0101685577797,0.140894858834,0.0617907275407,0.116430259958,0.0897377359378,0.252329858327,-0.0315415707453,0.273090268543,0.111520563529,0.0874767239237,0.0393046349021,0.0963485854138,0.233266708555,0.0751122399913,0.0659085468793,0.0322188772063,-0.016035073091,0.0725410108722,0.122992426595,0.285544255408,0.131496038219,0.254651631414,-0.152363911801,-0.0895997613547,-0.127527099382,-0.0523038945316,-0.142538980725,-0.129165197375,-0.103629557686,0.00565719408424,-0.0240293401168,-0.0819543034239,0.0775773368073,0.0702257737725,-0.000543813420398,0.0834386135359,-0.00205267505022,0.0164536677818,-0.17011105928,0.00735904158916,-0.00366753796436,-0.023096055643,0.0577176255653,0.0497730590205,0.0976978636216,0.449191699543,0.132028112617,0.175141226309,0.111154152102,0.153372039825,0.135754549695,0.17157561924,0.123007316909,-0.0999324431115,-0.159693250134,-0.16523782797,0.239575727867,0.214065383224,0.100930540565,0.294360794841,0.21292724708,0.32426370291,0.000776979370538,0.399747028928,0.0845017094142,0.0628571208088,0.0800258628287,0.0410462086446,0.0275536225759,0.128716152336,0.119648971504,0.127645784855,0.00544832037088,0.112742637456,0.0355652814508,0.19587065226,0.0841104084738,0.0951653628666,0.116250733401,0.108440153444,0.0246768706565,0.100994689119,0.107982771711,0.190839598481,0.117317010876,-0.121484634182,-0.109050091904,0.0300808755188,-0.0548617016903,-0.0810174733951,-0.100433832804,-0.10155681679,0.0533813815455,-0.0458742520664,0.100815235743,0.0960386603764,0.188811467726,0.232703907881,0.0802475075395
/Business and industry/Banking/Online banking,0.149260565232,0.270818056223,0.220604896619,0.306492259882,0.212868405049,0.371164087367,0.00898610445664,0.738518339021,0.0507024204625,0.194880486838,0.115919751661,0.166494025288,0.0915356953614,0.259263559317,-0.00145471746511,0.313232665218,0.149738286945,0.154255793421,0.0876125907386,0.147141264551,0.323001863608,0.107519064927,0.140197597377,0.0999539395222,0.0374513446927,0.134962135818,0.150932444023,0.302655727653,0.166438022827,0.335166440147,-0.118170733208,-0.0452365711769,-0.0869026177946,-0.0175565182744,-0.0968823241321,-0.0895595251771,-0.0445894020951,0.0498540186293,0.0356046422261,-0.0316233729242,0.154396901007,0.12765651113,0.0629640716663,0.155870775976,0.0661325670848,0.0820323346594,-0.137924400789,0.0692748638849,0.0448920154377,0.0390507354845,0.137188523321,0.123387435218,0.212199479195,0.530400571411,0.249094381948,0.295609065609,0.209241025073,0.256768410057,0.254635392717,0.209822034952,0.187750708127,-0.0597292561091,-0.12114487649,-0.131009532739,0.266885119359,0.236056192264,0.107361353404,0.308274288154,0.236937949711,0.321613013704,0.0440974406288,0.481536291244,0.13100872668,0.107026486936,0.121743544172,0.0809214025804,0.0641670364236,0.164830048843,0.156915429868,0.168652879496,0.0316450307806,0.159377516592,0.0704666705686,0.24019418225,0.133761508033,0.136579809525,0.16249720898,0.155816279373,0.060588972724,0.145742442981,0.150072574299,0.230351943891,0.168521451235,-0.0675774123339,-0.0303111679487,0.0840876663946,0.0167939736122,-0.00677775850558,-0.0435643715312,-0.0430859491065,0.0607329746813,-0.028077447527,0.121839513731,0.104829311139,0.184210619802,0.234727366145,0.0905520011395
/Business and industry/Banking/Retail banking,0.118837256584,0.249323804935,0.204392258503,0.309860481957,0.216001719206,0.347710341389,0.00335705834666,0.735417998438,0.00859966686923,0.176729846566,0.0975464605787,0.137542525342,0.0950269476991,0.253855216374,-0.0154047772219,0.31691841034,0.136349074779,0.0962688094194,0.0381601199929,0.100200581779,0.255208362482,0.0885125228826,0.0819554994392,0.0518803046569,0.00123041359213,0.100211018326,0.159239726818,0.296945815628,0.189952109132,0.304233919383,-0.136892517565,-0.0843692096952,-0.111979107343,-0.0358262571011,-0.123528435529,-0.119025585685,-0.0824133510769,0.0278667192278,0.00217156857231,-0.0539778984199,0.110504855211,0.0955250196762,0.02912183566,0.121395946286,0.0252728985906,0.0458685122535,-0.155265447502,0.0385975391598,0.0201181163161,0.00815422638212,0.0778263198185,0.0775172931851,0.104492954274,0.447413793942,0.15804996317,0.197328280006,0.123314351133,0.164445893744,0.150292363201,0.209237593102,0.174552136823,-0.0697464901632,-0.135374296194,-0.139118061673,0.213380699533,0.272657508663,0.140556790845,0.364954673605,0.270645000437,0.359309321131,0.0291099606554,0.415984390041,0.11518471293,0.0760249147549,0.0949719383324,0.0627386631359,0.0486087072341,0.15694889853,0.14384315438,0.153433048367,0.0178873611108,0.147968644528,0.0589208182354,0.234395430609,0.11738133081,0.119114635106,0.148316510237,0.141591608769,0.0462577805295,0.133378255059,0.137947844023,0.224695107765,0.154888077623,-0.104882841919,-0.0946852251718,0.0477052086248,-0.0334743472437,-0.0586859021956,-0.0840464869382,-0.088599677866,0.0358930421767,-0.0366785490732,0.108517265655,0.113012050636,0.191319706085,0.25703812012,0.0893160456701
/Business and industry/Business,0.156067120368,0.208186059479,0.186574655437,0.243911094457,0.189109709906,0.347352085882,0.0252141802072,0.813144823273,-0.00833299770176,0.186026645954,0.104063352144,0.192587046423,0.0657075784223,0.232544024862,0.00412161442233,0.235565572342,0.187783372,0.0684636094796,0.00571413917068,0.072574860423,0.204468801254,0.0739436658518,0.0370073210228,0.00920150506771,-0.0243298871534,0.084445378199,0.153590526168,0.292019613913,0.180668651651,0.21485818503,-0.0888984316782,-0.0594273673947,-0.0645601916164,-0.00509241554479,-0.0923647313188,-0.0789954308965,-0.0719675107585,0.00178002381899,0.0105644866818,-0.0479014720028,0.0878995619217,0.0664285168608,0.0103691613559,0.0744387181336,-0.0151405622478,0.0559723232278,-0.144565685431,0.0195942464774,9.07770456627e-05,-0.0172429986159,0.0355911381969,0.0446736890516,0.157299316341,0.50992701742,0.205483067768,0.228255245069,0.128859145407,0.156528034212,0.169130196339,0.191858846687,0.134778983618,-0.00122069119815,-0.0599017750279,-0.0494658833713,0.195285656779,0.256739914302,0.141784231334,0.324528193504,0.254910028967,0.294868459515,0.0410063787306,0.330414966217,0.121763456388,0.0709990168774,0.0665406096668,0.0861138184749,0.070453299771,0.172821279468,0.142866478966,0.149158839739,0.0469587100391,0.159763759037,0.0750182719483,0.22249377051,0.115802219642,0.109901998088,0.152633855091,0.141482049264,0.0618154062186,0.130065456981,0.124136874003,0.185120515246,0.155827646518,-0.0524890937196,-0.0473488767857,0.0632169600579,0.0180459479023,-0.0459849460973,-0.0333042255626,-0.0461557232443,0.0786164134206,-0.00489750973686,0.120405778649,0.106527213454,0.20572779893,0.218684640151,0.071466621629
