,selection,recommendations
0,/Business and industry/Banking/Retail banking,/Business Professionals
1,/Business and industry/Banking/Retail banking,/News Junkies & Avid Readers/Business & Economic News Junkies
2,/Business and industry/Banking/Retail banking,/Social Media Enthusiasts
0,/Business and industry/Banking/Retail banking,/Business Professionals
1,/Business and industry/Banking/Retail banking,/News Junkies & Avid Readers/Business & Economic News Junkies
2,/Business and industry/Banking/Retail banking,/Social Media Enthusiasts
0,/Business and industry/Banking/Retail banking,/Business Professionals
1,/Business and industry/Banking/Retail banking,/News Junkies & Avid Readers/Business & Economic News Junkies
2,/Business and industry/Banking/Retail banking,/Social Media Enthusiasts
0,/Business and industry/Banking/Retail banking,/Business Professionals
1,/Business and industry/Banking/Retail banking,/News Junkies & Avid Readers/Business & Economic News Junkies
2,/Business and industry/Banking/Retail banking,/Social Media Enthusiasts
0,/Business and industry/Banking/Retail banking,/Business Professionals
1,/Business and industry/Banking/Retail banking,/News Junkies & Avid Readers/Business & Economic News Junkies
2,/Business and industry/Banking/Retail banking,/Social Media Enthusiasts
0,/Business and industry/Banking/Retail banking,/Business Professionals
1,/Business and industry/Banking/Retail banking,/News Junkies & Avid Readers/Business & Economic News Junkies
2,/Business and industry/Banking/Retail banking,/Social Media Enthusiasts
0,/Business and industry/Banking/Retail banking,/Business Professionals
1,/Business and industry/Banking/Retail banking,/News Junkies & Avid Readers/Business & Economic News Junkies
2,/Business and industry/Banking/Retail banking,/Social Media Enthusiasts
0,/Business and industry/Banking/Retail banking,/Business Professionals
1,/Business and industry/Banking/Retail banking,/News Junkies & Avid Readers/Business & Economic News Junkies
2,/Business and industry/Banking/Retail banking,/Social Media Enthusiasts
0,/Business and industry/Banking/Retail banking,/Business Professionals
1,/Business and industry/Banking/Retail banking,/News Junkies & Avid Readers/Business & Economic News Junkies
2,/Business and industry/Banking/Retail banking,/Social Media Enthusiasts
0,/Business and industry/Banking/Retail banking,/Business Professionals
1,/Business and industry/Banking/Retail banking,/News Junkies & Avid Readers/Business & Economic News Junkies
2,/Business and industry/Banking/Retail banking,/Social Media Enthusiasts
